variant,bodies,time,std_time,fps,std_fps,gflops,std_gflops
cpu+naive,1000,43511.52,389.578,13.791,0.126,0.3,0.0
cpu+optim1,1000,21530.95,172.85,23.224,0.186,0.3,0.0
cpu+optim1_approx,1000,71617.62,559.647,27.928,0.222,0.4,0.0
cpu+optim1_approx,10000,35935.22,32.061,0.278,0.0,0.4,0.0
simd+naive,10000,18669.35,44.85,2.678,0.006,5.0,0.0
simd+optim1,10000,15075.8,810.804,3.326,0.176,6.2,0.313
simd+optim2,10000,54412.8,358.891,0.919,0.006,1.8,0.0
simd+omp,10000,12886.17,251.939,15.526,0.296,28.91,0.543
ocl+naive,30000,14943.01,127.981,10.039,0.084,168.29,1.401
cuda+naive,30000,14680.74,52.155,10.218,0.036,171.28,0.608
cuda+optim1,30000,11929.04,96.959,16.767,0.136,4323.26,34.949
cuda+optim2,10000,16290.5,27.482,122.771,0.208,2903.25,4.92
cuda+optim2,30000,10613.08,78.204,18.846,0.138,12032.38,88.143
cuda+optim3,30000,11686.69,47.425,17.114,0.069,10926.63,44.142
